"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
RELUHN2 IN Equity,106,,,RELI NIP HIGHEST NAV ADV-S2,India,Open-End Fund,17.994,,0.27,0.98,2.812,5.416,16.713,3.667,-1.59,0.413,,,,,,,5194,,
RELUIFR IN Equity,104.7,,3247414,RELI NIP LIFE INFRAS FUND 1,India,Open-End Fund,31.177,,-0.625,-1.581,8.725,-8.762,67.534,25.581,0.99,15.73,12.804,,,,,1.836,6370,,
RELULEG IN Equity,729.8,,1153083,RELI NIP LIFE EQUITY FUND 1,India,Open-End Fund,128.989,,-0.696,-1.404,8.257,-6.695,34.081,16.998,0.406,14.17,,,,0.984,,201.106,7688,-8.704,-0.127
RELUMF2 IN Equity,64.6,,861964.375,RELI NIP PENS MIDCAP FUND 2,India,Open-End Pension,71.607,,-2.27,0.147,11.89,-6.989,70.116,29.22,0.985,18.936,25.298,,,0.96,,0.775,5014,-22.487,-0.279
RELUMID IN Equity,219.7,,861964.375,RELI NIP LIFE MIDCAP FUND 1,India,Open-End Fund,79.216,,-2.244,0.27,11.897,-7.504,70.937,29.533,0.982,19.356,25.504,,,0.977,,0.792,6370,-21.666,-0.298
RELUPE2 IN Equity,30.7,,1295550,RELI NIP PENS ENERGY FUND 2,India,Open-End Pension,51.098,,-1.5,-2.465,7.766,-17.38,83.383,32.215,1.116,18.087,9.728,,,,,2.451,5014,,
RELUPEQ IN Equity,229.2,,3958401,RELI NIP LIFE PURE EQUITY 1,India,Open-End Fund,70.671,,1.539,0.331,8.62,-4.99,56.486,20.401,0.802,15.253,17.942,,,,,1.505,6235,,
RELVISF IN Equity,61738.504,,1255730,NIPPN IND VSN LRG&MID CAP-RG,India,Open-End Fund,1450.855,1.92,0.012,0.954,13.021,0.591,74.387,26.102,1.205,15.939,23.795,0,,,0,0.745,10918,,
REPSUEG IN Equity,13905.005,,1428670,INVESCO INDIA PSU EQUITY-RG,India,Open-End Fund,60.4,2.13,-4.264,-6.182,17.464,-10.888,111.855,30.677,1.284,26.999,11.872,1,,0.96,0,2.06,5752,-14.155,-0.009
REUSERG IN Equity,7059.492,,18748350,NIPPON US EQUITY OPPORT-RG,India,Open-End Fund,36.018,2.38,0.277,8.307,2.326,14.359,60.286,14.724,0.641,15.026,18.618,1,,0.994,0,0.804,3683,-22.435,-0.353
RLFLRCE IN Equity,11224.9,,3958401,RELI NIP LIFE LARGE CAP EQTY,India,Open-End Fund,18.674,,-0.295,-0.268,9.133,-6.428,37.16,17.019,0.459,14.326,41.546,,,,,1.021,2050,,
S100ERG IN Equity,1081.715,,1677212,SUN NIFTY 100 EQ WT FUND-RG,India,Open-End Fund,172.238,1.08,0.151,0.329,12.265,-5.355,54.123,22.406,0.751,16.735,27.992,0,,0.974,0,1.162,9528,-8.36,-0.106
SALMCDG IN Equity,1535.399,,985837.812,SAMCO LAR & MID CAP FN-DG,India,Open-End Fund,9.48,0.79,-2.569,,,,,,,,33.689,,,,,0.357,58,,
SAMCFRG IN Equity,3659.789,,387881.594,SAMCO MULTI CAP FUND-RG,India,Open-End Fund,9.32,2.4,-3.219,-1.48,4.837,,,,,,31.235,,,,,0.814,294,,
SAMLCDG IN Equity,1531.546,,1868967,SAMCO LARGE CAP FUND-DG,India,Open-End Fund,9.66,0.74,-2.227,-3.593,,,,,,,44.497,,,,,0.615,152,,
SBAGGRG IN Equity,29598.963,,1750898,SBI RETIREMENT AGG-RG,India,Open-End Fund,19.853,1.93,-0.501,-0.108,10.952,-4.346,45.231,,0.701,14.324,25.501,0,,0.858,0,0.898,1652,-8.361,0.02
SBANKRG IN Equity,84500.664,,3313740,SBI-BANK & FINANCIAL SERV-RG,India,Open-End Fund,41.814,1.79,-2.023,1.473,15.51,11.651,64.942,24.204,1.144,12.327,,0.5,,0.838,0,0.845,3835,12.336,0.407
SBAUODG IN Equity,52357.871,,1025540,SBI AUTOMOTIVE OPPOR FD-DG,India,Open-End Fund,10.289,0.83,3.688,6.66,18.012,-5.258,,,,19.275,38.016,,,,,0.643,441,,
SBEMVRG IN Equity,2238.437,,2966087,SBI EQUITY MINIMUM VAR-RG,India,Open-End Fund,23.904,0.75,1.31,0.549,9.298,-6.247,47.007,18.763,0.597,15.593,27.649,0.5,,1.001,0,1.422,2345,0.205,-0.047
SBI300P IN Equity,6185.9,,12058970,SBI LIFE INS TOP 300 PENSION,India,Open-End Pension,54.676,,0.16,1.041,9.301,2.36,37.812,16.462,0.59,10.433,22.147,,,,,0.865,5700,,
SBIAROG IN Equity,398241.625,,1286769,SBI ARBITRAGE OPPORT-RG,India,Open-End Fund,34.13,0.9,0.472,1.637,3.414,6.88,23.272,5.773,0.475,0.329,39.274,1,,0.491,0,0.938,6867,-0.765,0.289
SBIBLUG IN Equity,530303.937,,2970378,SBI LARGE CAP FUND-GROWTH,India,Open-End Fund,91.735,1.49,-0.352,-0.043,10.991,0.616,47.672,20.638,0.76,13.269,24.742,1,,0.905,0,0.925,7131,-1.845,0.088
SBICTRA IN Equity,469470.156,,1534968,SBI CONTRA FUND-RG,India,Open-End Fund,376.613,1.5,-1.412,-0.656,8.273,-4.673,74.408,32.184,1.287,12.324,15.553,1,,0.873,0,1.353,9533,20.816,0.514
SBIEORD IN Equity,100250.484,,1040650,SBI ENERGY OPPORTUNITI FD-RI,India,Open-End Fund,10.194,1.78,-3.473,-2.994,14.719,-12.498,,,,22.13,13.275,,,,,1.946,544,,
SBIFMCG IN Equity,31345.717,,658613.875,SBI CONS FUND-RD,India,Open-End Fund,187.95,1.97,1.98,1.389,8.983,-7.734,57.255,27.843,0.799,17.355,35.428,1,,0.845,0,0.867,9550,17.508,0.543
SBIGBP2 IN Equity,2692.7,,12058970,SBI LIFE INS GRP BAL PLUS 2,India,Open-End Fund,25.994,,-1.164,-1.405,5.07,4.948,29.834,9.109,0.745,5.011,11.293,,,,,0.98,3970,,
SBIGLOB IN Equity,61937.418,,514426.687,SBI MNC FUND-REGULAR GROWTH,India,Open-End Fund,353.936,1.91,-3.081,-2.688,5.213,-5.624,22.73,16.044,0.25,12.396,41.855,1,,0.582,0,0.705,9199,-34.326,0.012
SBIGRBP IN Equity,104.4,,12525820,SBI LIF INS GRP BALNC PLS FD,India,Open-End Fund,47.614,,-0.839,-0.825,5.465,4.893,30.503,9.231,0.747,4.983,25.871,,,,,0.884,5886,,
SBIINTE IN Equity,46874.289,,2602874,SBI IT FUND-RD,India,Open-End Fund,131.142,1.91,2,2.759,5.664,2.39,60.622,24.91,0.69,15.476,17.873,0.5,,0.753,0,1.232,9550,31.991,0.763
SBILBLF IN Equity,18358.699,,,SBI LIFE BLUECHIP FUND,India,Open-End Fund,9.964,,-0.522,-0.241,9.405,-0.357,,,,,,,,,,,366,,
SBIMAIN IN Equity,100092.812,,5001495,SBI NIFTY INDEX FUND-RG,India,Open-End Fund,218.59,0.41,-0.36,-0.526,10.244,-0.477,43.343,19.218,0.617,13.067,23.656,0.2,,1.002,0,1.234,7022,0.559,0.033
SBIMCOM IN Equity,7078.06,,1534968,SBI COMMA FUND-REGULARGROWTH,India,Open-End Fund,102.939,2.48,-1.573,0.119,15.953,-4.66,52.404,23.532,0.744,17.877,10.76,0.5,,0.778,0,1.715,7303,-0.706,0.28
SBIMGEG IN Equity,56658.355,,3609525,SBI ESG EXCLUSNAY STRGY FD-G,India,Open-End Fund,237.169,1.94,0.201,-0.43,9.809,-1.529,44.166,19.107,0.629,13.232,25.885,1,,0.908,0,1.031,12627,1.382,0.137
SBIMMUC IN Equity,221172.312,,3313740,SBI FLEXICAP-GROWTH,India,Open-End Fund,107.685,1.67,-0.098,1.498,8.788,-2.98,42.219,19.76,0.607,12.952,22.887,0,,0.828,0,0.704,7254,-11.373,-0.047
SBINF1G IN Equity,49691.773,,1111648,SBI INFRASTRUCTURE FUND-RG,India,Open-End Fund,47.724,1.9,-2.47,-3.68,9.233,-10.89,79.856,29.275,1.229,18.192,22.543,1,,0.85,0,0.828,6623,-0.144,0.294
SBIOFDG IN Equity,73612.687,,238161.797,SBI INNOVAT OPPORTU FD-DG,India,Open-End Fund,9.866,0.64,0.704,4.409,10.773,,,,,,38.061,1,,,0,0.519,365,,
SBIPFE1 IN Equity,233523.562,,3247414,SBI PF SCHEME E TIER 1,India,Open-End Pension,56.02,,-0.065,1.485,12.364,-4.166,45.489,19.14,0.646,15.007,24.844,,,0.943,,0.963,5914,-0.579,0.038
SBIPFE2 IN Equity,6235.986,,3132634,SBI PF SCHEME E TIER 2,India,Open-End Pension,52.685,,0.133,0.526,11.106,-2.718,47.931,19.59,0.687,15.125,28.95,,,0.957,,1.006,5717,1.863,0.06
SBIPHAR IN Equity,40265.457,,661997.687,SBI MAGNUM SECTOR-PHARMA-RG,India,Open-End Fund,432.225,1.93,-2.008,3.395,10.335,8.324,104.723,23.309,1.627,14.838,40.78,0.5,,0.836,0,0.478,9550,7.354,0.417
SBIPSUG IN Equity,52781.59,,2319343,SBI PSU FUND-RG,India,Open-End Fund,30.578,1.87,-3.8,-4.248,11.711,-10.617,115.025,33.041,1.308,20.586,8.491,0.5,,0.964,0,2.422,5525,2.221,0.185
SBIQNDG IN Equity,37361.398,,1213987,SBI QUANT FUND -DG,India,Open-End Fund,9.45,0.74,-1.613,-1.903,5.407,,,,,,23.058,,,,,1.225,239,,
SBITAXG IN Equity,302711.656,,1534968,SBI ELS TAX SAVR FND-R GR IN,India,Open-End Fund,431.012,1.58,-1.418,-0.546,9.116,-3.035,88.326,26.92,1.447,12.899,15.906,0,,0.953,0,1.305,10376,34.734,0.652
SBIU300 IN Equity,19052.699,,12058970,SBI LIFE INSUR TOP300 FUND,India,Open-End Fund,56.664,,0.048,0.28,9.13,0.401,39.326,16.635,0.587,11.452,20.684,,,,,0.87,5711,,
SBIUEE2 IN Equity,122256.203,,12058970,SBI LIFE INS EQ ELITE FD II,India,Open-End Fund,50.934,,-0.639,-0.309,8.219,-0.732,37.448,15.789,0.566,11.023,22.225,,,,,1.081,5677,,
SBIUEP2 IN Equity,127594.102,,12058970,SBI LIF INS EQTY PENS FD II,India,Open-End Pension,41.703,,-0.609,-0.726,9.245,-0.895,40.107,18.537,0.568,13.275,14.499,,,,,1.09,4247,,
SBIUEPE IN Equity,92817.602,,12058970,SBI LIFE INSURANCE EQTY PENS,India,Open-End Pension,73.605,,-0.379,0.249,9.869,-0.596,42.779,19.389,0.631,13.158,23.396,,,0.94,,0.946,6825,-0.006,0.098
SBIUEQE IN Equity,125.2,,12058970,SBI LIFE INSURANCE EQY ELITE,India,Open-End Fund,87.211,,0.211,0.865,9.566,1.33,44.624,19.726,0.717,10.995,22.838,,,,,1.012,6396,,
SBIUEQF IN Equity,785582.687,,12058970,SBI LIFE INSURANCE EQUITY FD,India,Open-End Fund,201.098,,-0.876,-1.169,8.635,-3.665,45.116,18.522,0.666,13.91,20.754,,,0.947,,1.053,7534,2.331,0.137
SBIUERD IN Equity,10622.27,,28385210,SBI US SPCIFC EQ ACT FOF-RID,India,Open-End Fund,19.115,1.61,0.398,14.791,13.725,16.748,75.577,,0.833,17.242,20.619,2.25,,1.088,0,1.172,1611,-7.144,-0.237
SBIUGGP IN Equity,25.6,,12058970,SBI LIF INSU GRP GRTH PLS FD,India,Open-End Fund,56.685,,-0.719,-0.837,7.028,3.896,34.94,12.286,0.738,7.319,26.14,,,,,0.823,5815,,
SBIUGPE IN Equity,5447.7,,12058970,SBI LIFE INSURANCE GRTH PENS,India,Open-End Pension,72.835,,-0.585,-0.078,8.945,2.94,41.027,15.862,0.731,10.315,20.636,,,,,1.018,6769,,
SBIUGRO IN Equity,29800.699,,12525820,SBI LIFE INSURANCE GROWTH FD,India,Open-End Fund,94.192,,-0.239,-0.45,8.498,0.793,39.077,15.316,0.636,10.547,18.093,,,,,1.136,7219,,
SBIUINP IN Equity,310,,12058970,SBI LIFE INS INDX PENSION FD,India,Open-End Pension,50.243,,-0.197,-0.924,9.095,-1.801,42.407,18.831,0.591,13.296,20.807,,,,,1.135,5700,,
SBIUINX IN Equity,1162.3,,12058970,SBI LIFE INSURANCE INDEX FD,India,Open-End Fund,48.193,,-0.203,-0.94,8.986,-1.863,42.389,18.857,0.59,13.264,20.784,,,,,1.123,5711,,
SBIUMID IN Equity,421225.312,,643602.812,SBI LIFE INSURANCE MIDCAP FD,India,Open-End Fund,47.281,,-1.046,1.267,13.961,-2.455,77.403,28.172,1.175,18.453,16.395,,,,,0.447,3375,,
SBIUOP2 IN Equity,8315.8,,15347330,SBI LIF INS EQTY OPTIM PENS,India,Open-End Pension,58.969,,-0.413,0.686,11.138,2.873,45.716,17.824,0.774,12.168,29.604,,,,,0.721,6428,,
SBIUOPT IN Equity,25980.4,,12525820,SBI LIFE INSURANCE EQ OPTIMI,India,Open-End Fund,54.356,,-0.351,0.389,9.828,1.764,42.901,17.479,0.7,11.584,28.105,,,,,0.837,6428,,
SBIUPEM IN Equity,2424.8,,6654219,SBI LIFE INSURANCE PE MGD FD,India,Open-End Fund,39.167,,0.049,1.597,9.202,4.557,43.215,13.132,0.861,9.237,35.567,,,,,0.813,5467,,
SBIUPUR IN Equity,11768.6,,634048.375,SBI LIFE INSURANCE PURE FUND,India,Open-End Fund,28.056,,0.812,2.605,13.133,-6.643,39.731,17.613,0.478,18.198,43.814,,,,,0.412,3375,,
SBN5IDG IN Equity,8633.475,,2268266,SBI NIFTY 500 INDEX FUND-DG,India,Open-End Fund,9.451,0.3,-0.914,-0.103,12.061,,,,,,29.674,,,,,1.049,327,,
SBNEWDG IN Equity,10158.603,,2800376,SBI NIFTY50 EQUAL WEIG IN-DG,India,Open-End Fund,11.663,0.45,0.863,0.677,11.378,-1.923,,,,14.868,26.172,0.25,,,0,1.392,568,,
SBNFIDG IN Equity,491.327,,6268798,SBI NIFTY IT INDEX FUND-DG,India,Open-End Fund,8.975,0.3,1.349,-3.816,,,,,,,19.004,,,,,2.654,181,,
SBNFLDG IN Equity,662.761,,2602874,SBI NF100 LW VL 30 IND FN-DG,India,Open-End Fund,10.277,,,,,,,,,,27.397,,,,,1.287,27,,
SBNICDD IN Equity,3224.346,,2970378,SBI NIFTY INDI CONSUM IND-DD,India,Open-End Fund,10.6,0.4,4.239,5.681,15.843,,,,,,26.028,,,,,1.079,294,,
SBNMIRD IN Equity,1007.475,,1627871,SBI NF200 MOM 30 INDX FUN-RD,India,Open-End Fund,9.579,0.8,-1.514,,,,,,,,20.687,,,,,0.351,43,,
SBNQIRG IN Equity,3208.906,,1791747,SBI NIF200 QUAL 30 IND FN-RG,India,Open-End Fund,10.041,0.72,2.101,,,,,,,,25.532,0.25,,,,2.034,78,,
SBPBIRD IN Equity,383.284,,999697,SBI BSE PSU BANK INDEX FN-RD,India,Open-End Fund,11.023,0.77,-2.519,1.489,,,,,,,3.004,,,,,1.879,152,,
SBSEIRG IN Equity,3431.085,,5923790,SBI BSE SENSEX INDEX F-RG,India,Open-End Fund,13.175,0.4,-0.717,-1.026,8.941,-0.459,,,,12.338,20.58,,,,,1.173,818,,
SBUGGP2 IN Equity,407.4,,12058970,SBI LIF INSU GRP GRTH PLUS 2,India,Open-End Fund,26.244,,-0.906,-0.916,6.406,3.161,34.041,12.141,0.717,7.389,23.43,,,,,1.106,3829,,
SCTADVG IN Equity,69737.281,,2776938,BANDHAN ELSS TAX SAVR REG-G,India,Open-End Fund,150.263,1.74,-0.436,0.065,10.205,-4.134,52.832,25.834,0.872,13.17,26.179,0,,0.853,0,1.103,6084,-0.76,0.159
SDIVYRG IN Equity,90697.664,,2706476,SBI DIVIDEND YIELD FUND -RG,India,Open-End Fund,14.879,1.78,0.122,0.291,8.305,-6.34,,,,13.731,17.752,1,,,0,2.3,894,,
SFLXCRG IN Equity,4138.296,,584815.375,SAMCO FLEXI CAP FUND - RG,India,Open-End Fund,10.02,2.43,-3.746,-4.206,7.511,-20.916,5.808,,-0.114,26.113,55.098,2,,1.034,0,0.662,1295,-48.829,-1.037
SHMUCAF IN Equity,0.2,,676916.875,SHRIRAM ULIP MULTICAP AGGRES,India,Open-End Fund,10,,0,0,0,0,0,0,,0,22.744,,,0,,1.292,3284,-42.785,0
SHNINLG IN Equity,355629.562,,163805.594,SBI SMALL & MIDCAP-RG,India,Open-End Fund,170.769,1.57,-1.997,1.651,14.188,-6.231,53.667,29.177,0.866,17.801,,1,,0.716,0,0.506,5829,-33.676,-0.023
SHPMCAF IN Equity,0.7,,,SHRIRAM UL PEN MUTLICAP AGGR,India,Open-End Pension,10,,0,0,0,0,0,0,,0,,,,0,,,3284,-42.785,0
SHRLERG IN Equity,492.097,,1286769,SHRIR ELS TS-RGIA,India,Open-End Fund,20.714,2.331,-1.737,0.48,8.111,-12.774,33.927,15.296,0.391,19.122,,0,,1,0,0.926,2399,-20.71,-0.381
SHRMSRG IN Equity,1935.658,,263968.312,SHRIRAM MULTI SEC ROT FD-RG,India,Open-End Fund,7.571,2.352,-3.21,-3.67,-1.972,,,,,,,,,,,1.267,257,,
SHRUACC IN Equity,810.97,,5047294,SHRIRAM ULIP-ACCELERATOR,India,Open-End Fund,47.664,,0.187,-0.316,10.642,-4.9,49.464,17.888,0.684,14.98,45.951,,,0.973,,1.062,6748,6.679,0.162
SHRUELE IN Equity,136.6,,5211505,SHRIRAM ULIP-ELEVATOR FUND,India,Open-End Fund,26.042,,-0.168,-0.12,7.305,1.174,37.571,11.563,0.727,8.157,52.677,,,,,0.865,4074,,
SHRUMXG IN Equity,11.74,,12058970,SHRIRAM ULIP-MAXIMUS GOLD,India,Open-End Fund,39.924,,-0.951,-2.072,8.06,-4.897,37.432,15.611,0.47,13.704,15.428,,,0.969,,0.879,6291,-5.352,-0.058
SHRUMXP IN Equity,2.49,,312095.812,SHRIRAM ULIP-MAXIMUS PLUS,India,Open-End Fund,35.588,,0,0,3.04,-7.348,33.839,12.741,0.418,10.714,24.232,,,,,1.389,5909,,
SHRUTYS IN Equity,3057,,972449.312,SHRIRAM ULIP-TYASEER,India,Open-End Fund,49.23,,1.467,0.489,7.613,-12.82,45.308,19.657,0.54,16.187,22.613,,,0.807,,1.693,5844,19.122,0.613
SHRUWTC IN Equity,13.81,,,SHRIRAM ULIP-WEALTH CREATOR,India,Open-End Fund,31.617,,0,0,0,-11.857,37.524,15.591,0.463,10.065,,,,1.011,,,6452,-5.26,-0.129
SM150DD IN Equity,8909.077,,622372.812,SBI NIFTY MIDCAP 150 IND-DI,India,Open-End Fund,18.364,0.4,-1.707,0.803,14.854,-2.845,,,,19.047,29.827,,,,,0.741,1051,,
SMAINNU IN Equity,304.1,,,SMART INNOVATION FUND-U,India,Open-End Fund,10.901,,-0.294,1.084,,,,,,,,,,,,,159,,
SMILED IN Equity,33935.312,,103851,SUNDARAM SMALL CAP FUND-RD,India,Open-End Fund,32.374,1.94,-2.543,0.753,16.384,-10.553,59.732,30.697,0.834,22.941,68.597,1,,0.809,0,0.641,7482,-25.304,-0.079
SMLTCRG IN Equity,223873.078,,544364.812,SBI MULTICAP FUND - RG,India,Open-End Fund,16.951,1.67,-2.348,1.926,12.824,3.014,59.067,,1.005,14.21,23.393,0,,0.773,0,0.614,1261,-5.852,0.207
SMULTRG IN Equity,1365.079,,1286769,SHRIRAM FLEXI CAP FUND-RG,India,Open-End Fund,19.823,2.388,-1.71,0.529,8.061,-13.496,34.189,15.979,0.394,19.222,,0,,0.996,0,0.923,2515,-20.448,-0.371
SNBCFRG IN Equity,17889.09,,599559.312,SUNDARAM BUSINES CYCL-REG GR,India,Open-End Fund,10.869,2.02,-0.673,1.39,11.785,2.547,,,,14.477,32.317,,,,,0.392,427,,
SNBIFRG IN Equity,1207.371,,7352649,SBI NIFTY BANK INDEX FUND-RG,India,Open-End Fund,10.851,0.71,-3.518,-1.591,12.475,,,,,,5.251,,,,,0.775,196,,
SNDEMUD IN Equity,67892.172,,646097.687,SUNDARAM LARGE-MIDCAP FND-RD,India,Open-End Fund,30.504,1.81,-0.25,1.75,13.068,-9.576,21.979,15.94,0.168,20.322,22.627,1,,1.117,0,0.689,6747,-29.266,-0.693
SNDFSRG IN Equity,15479.201,,3112540,SUNDARAM SEL THEMATIC FSO-RG,India,Open-End Fund,98.709,2.1,-4.888,-4.997,9.913,0.13,60.76,25.411,1.097,13.264,,2,,0.917,0,0.973,6281,8.153,0.324
SNDRUIG IN Equity,15764.042,,2776938,SUNDARAM RURAL INDIA FUND-RG,India,Open-End Fund,99.311,2.18,2.072,2.872,11.197,-0.093,58.629,21.311,0.823,17.421,32.057,1,,0.87,0,0.952,7042,-2.325,0.174
SNDTAXO IN Equity,14887.137,,1955858,SUNDARAM DIVERSIFIED EQTY-RD,India,Open-End Fund,17.011,2.2,-0.178,2.042,12.053,0.689,44.885,21.326,0.702,13.337,21.19,0,,0.849,0,0.698,9410,-9.752,0.003
SNN50RG IN Equity,17675.045,,1331099,SBI NIFTY NEXT 50 INDEX F-RG,India,Open-End Fund,18.079,0.71,-0.269,-0.541,12.891,-10.52,54.716,,0.694,20.636,38.948,1,,0.998,0,0.957,1554,-3.953,-0.07
SS250RG IN Equity,14954.68,,199408.5,SBI NIFTY SMLCP 250 IDX F-RG,India,Open-End Fund,17.973,0.83,-3.569,0.848,15.792,-7.919,,,,23.628,69.161,,,,,0.653,1051,,
STACLAG IN Equity,99965.758,,852206.875,BANDHAN LARGE & MID CAP-GRWT,India,Open-End Fund,133.279,1.73,0.102,2.397,14.044,-1.428,89.937,27.858,1.41,15.398,21.893,2,,0.949,0,0.969,7303,38.958,0.686
STAIMPG IN Equity,19740.646,,1352877,BANDHAN FOCUSED FUND-RG,India,Open-End Fund,86.269,2.08,-2.215,2.124,11.1,1.608,62.677,19.951,0.951,16.266,,1,,0.876,0,1.168,7103,9.085,0.327
STAMIDC IN Equity,4563.7,,,STAR UNION MID CAP FUND,India,Open-End Fund,22.943,,-1.666,-0.076,11.83,-4.712,63.238,24.921,0.969,17.808,,,,,,,2032,,
STAPREG IN Equity,74469.367,,3241111,BANDHAN FLEXI CAP-GROWTH,India,Open-End Fund,207.659,1.86,-0.129,1.262,12.049,-0.201,51.452,20.665,0.826,13.454,25.752,1,,0.837,0,1.028,7273,-2.14,0.139
STASMEG IN Equity,99646.906,,2298334,BANDHAN VALUE FUND-RG,India,Open-End Fund,145.074,1.75,-0.889,-1.091,8.72,-5.753,60.69,31.188,1.032,12.782,18.423,1,,0.854,0,1.166,6363,7.098,0.308
STCARAG IN Equity,88797.43,,1026677,BANDHAN ARBITRAGE FUND-RG,India,Open-End Fund,32.718,1.08,0.396,1.448,3.184,6.659,22.428,5.53,-0.117,0.348,84.25,0.25,,,0,0.731,6823,22.428,
STENEQG IN Equity,19174.67,,3112540,BANDHAN LARGE CAP FUND-RG,India,Open-End Fund,76.685,2.03,0.221,1.583,13.465,-0.939,55.538,19.487,0.811,14.925,27.777,1,,0.987,0,0.82,7013,6.021,0.098
STRUVKB IN Equity,102.4,,,STAR UNI DAI ICHI VIKSIT BHT,India,Open-End Fund,9.592,,-0.905,-2.294,5.735,,,,,,,,,,,,268,,
STUDNIL IN Equity,63.5,,,STAR UNION DAI-ICHI NW IN LD,India,Open-End Fund,9.941,,-1.865,0.833,10.695,,,,,,,,,,,,268,,
SUAHYRG IN Equity,65833.43,,3313740,SUNDARAM AGGRSSIVE HYBRD -RG,India,Open-End Fund,159.658,1.8,-0.764,-0.423,9.111,-0.287,41.423,17.03,0.724,11.741,75.016,0,,,0,0.972,9357,41.423,
SUDEQRG IN Equity,14887.137,,3963988,SUNDARAM DIVERSIFIED EQ - RG,India,Open-End Fund,221.092,2.2,-0.179,2.034,12.037,0.684,44.892,,0.703,13.331,20.899,0,,0.869,0,1.092,1244,-6.088,0.044
SUDPAEQ IN Equity,75.1,,5211505,STAR UNION IND PEN APEX EQTY,India,Open-End Pension,46.714,,-0.866,-1.875,7.374,-4.021,37.421,16.421,0.527,12.297,12.521,,,,,1.012,5697,,
SUDPAGR IN Equity,79.4,,5211505,STAR UNION IND PEN APEX GRWH,India,Open-End Pension,41.815,,-1.098,-1.857,6.446,-1.739,33.521,13.367,0.512,10.051,20.151,,,,,0.802,5697,,
SUDPEQY IN Equity,37.8,,6654219,STAR UNION PENSION EQUITY FD,India,Open-End Pension,68.638,,-0.981,-2.063,6.538,-4.613,35.013,15.714,0.479,12.129,19.639,,,,,1.007,5987,,
SUDPGRW IN Equity,28.1,,4301637,STAR UNION PENSION GROWTH FD,India,Open-End Pension,54.998,,-1.586,-2.421,5.845,-2.435,31.907,12.889,0.484,10.071,11.396,,,,,0.851,5987,,
SUDUAEQ IN Equity,898.9,,6654219,STAR UNION APEX EQUITY FUND,India,Open-End Fund,46.381,,-0.938,-1.916,6.992,-4.066,37.43,16.479,0.543,11.974,10.818,,,,,1.02,5697,,
SUDUAGR IN Equity,928,,6654219,STAR UNION APEX GROWTH FUND,India,Open-End Fund,42.824,,-1.151,-2.214,6.07,-1.88,33.921,13.665,0.524,10.222,20.976,,,,,0.982,5697,,
SUDUEQY IN Equity,143.6,,6654219,STAR UNION EQUITY FUND,India,Open-End Fund,80.549,,-0.979,-2.035,6.726,-4.107,35.534,15.759,0.496,11.92,11.083,,,,,1.018,6027,,
SUDUGRP IN Equity,7507.8,,4301637,STAR UNION GROWTH PLUS FUND,India,Open-End Fund,31.072,,-1.375,-2.388,5.228,-2.932,30.356,12.633,0.42,9.912,12.697,,,,,0.757,4227,,
SUDUGRW IN Equity,100.2,,6654219,STAR UNION GROWTH FUND,India,Open-End Fund,69.576,,-1.148,-2.04,6.162,-2.037,32.603,13.194,0.483,10.016,20.951,,,,,0.983,6027,,
SUDUIBC IN Equity,13320.8,,6654219,STAR UNION INDIV BLUE CHIP,India,Open-End Fund,34.432,,-0.936,-1.92,6.973,-3.128,35.042,15.504,0.5,11.472,20.579,,,,,0.928,4227,,
SUDYFRG IN Equity,8922.919,,2800376,SUNDARAM DIVIDEND YIELD - RG,India,Open-End Fund,132.562,2.29,-0.651,-1.274,8.613,-7.755,54.867,21.15,0.807,14.81,15.101,0,,0.835,0,2.309,7621,-15.111,0.018
SUFLXRG IN Equity,20872.158,,3313740,SUNDARAM FLEXI CAP FUND - RG,India,Open-End Fund,14.822,2.01,0.047,2.433,12.782,1.819,,,,13.567,23.934,0,,,0,0.926,1085,,
SUFOCRG IN Equity,10995.396,,1428670,SUNDARAM FOCUSED FUND - RG,India,Open-End Fund,160.019,2.26,-0.059,1.866,8.219,-3.432,47.163,20.698,0.795,11.688,18.774,,,0.841,,0.786,7229,-7.473,0.107
SULAMRG IN Equity,67892.172,,957653.125,SUNDARAM LARGE & MIDCAP F-RG,India,Open-End Fund,84.305,1.81,-0.25,1.75,13.069,-2.3,52.759,22.961,0.788,16.923,24.896,0,,0.957,0,0.709,6756,-13.218,-0.176
SULARRG IN Equity,33914.105,,3609525,SUNDARAM LARGE CAP FUND - RG,India,Open-End Fund,21.045,1.91,-0.018,0.011,7.881,-2.686,41.789,17.903,0.62,11.871,17.67,0,,0.882,0,0.944,8429,-4.279,0.046
SUMIDRG IN Equity,125955.43,,613668.125,SUNDARAM MID CAP FUND - RG,India,Open-End Fund,1375.85,1.75,0.231,2.747,17.157,0.384,85.763,29.821,1.265,19.317,19.437,0,,0.886,0,0.663,8429,-0.012,0.168
