"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
IDFCING IN Equity,16758.85,,233615.5,BANDHAN INFRASTRUCTURE FD-RG,India,Open-End Fund,49.098,2.09,-2.461,-2.421,15.275,-12.463,101.411,36.859,1.289,24.816,40.007,1,,0.684,0,0.723,5285,4.538,0.699
IDFCNGR IN Equity,19516.209,,5001495,BANDHAN BOND FUND-RG,India,Open-End Fund,53.254,0.6,-0.373,-0.562,10.173,-0.654,42.674,19.136,0.603,13.073,23.656,0,,0.869,0,1.234,5538,-11.963,-0.095
IDFEBRG IN Equity,140621.922,,148720.297,BANDHAN SMALL CAP FND-REG GR,India,Open-End Fund,45.723,1.66,-3.191,1.726,16.213,-1.865,114.119,36.711,1.501,21.369,,1,,0.902,0,0.723,2009,33.513,0.613
IDG28RG IN Equity,44887.531,,,BANDN CRISL GILT2028 INDX-RG,India,Open-End Fund,13.062,0.45,0.077,0.858,4.216,7.993,24.01,,0.456,1.138,,0,,,0,,1617,,
IDMIDRG IN Equity,3376.922,,558933.375,IDBI MIDCAP FUND - RG,India,Open-End Fund,28.571,2.5,-1.969,-0.075,12.02,-5.98,66.887,25.328,0.937,19.756,46.823,1,,0.995,0,0.659,3128,-16.39,-0.262
IDSCFRG IN Equity,6181.265,,91810.406,IDBI SMALL CAP FUND - RG,India,Open-End Fund,29.674,2.38,-3.726,0.092,10.354,-10.646,60.576,32.645,0.863,23.996,,1,,0.89,0,0.663,2981,-24.459,-0.109
IENTSRG IN Equity,868.61,,5001495,360 ONE ELSS TX SN50 IXF-R G,India,Open-End Fund,13.84,0.52,-0.362,-0.531,10.134,-0.446,,,,12.996,23.655,0,,,0,1.234,967,,
IFLEXRG IN Equity,11937.597,,1018913,ITI FLEXI CAP FUND - RG,India,Open-End Fund,17.567,2.07,-1.01,1.103,15.424,-3.561,,,,18.933,26.326,,,,,0.722,916,,
IFLXCRG IN Equity,34257.602,,1018913,INVESCO FLEXI CAP FUND - RG,India,Open-End Fund,19.06,1.9,-0.105,4.783,18.092,4.438,85.409,,1.276,18.959,94.255,,,0.942,0,0.361,1288,31.817,0.557
IFO30RG IN Equity,1648.345,,338620.5,LIC MF FOCUSED - RG,India,Open-End Fund,21.365,2.52,-0.885,-0.59,12.5,-4.351,40.194,18.072,0.499,16.917,,,,0.972,,0.829,2833,-5.875,-0.094
IFOEQRG IN Equity,5336.987,,1061968,ITI FOCUSED FUND-REGUL GROTH,India,Open-End Fund,14.907,2.34,-1.607,1.869,15.477,0.009,,,,18.114,37.711,,,,,0.779,798,,
IFQUARG IN Equity,7673.797,,1048756,360 ONE QUANT FUND REG-G,India,Open-End Fund,19.046,1.95,-1.037,-0.043,15.497,-5.049,85.322,,1.206,20.134,96.521,1,,1.168,0,0.974,1366,34.342,0.429
IHOOPRG IN Equity,23605.656,,1971737,ICICI HOUSING OPPRTNTIES-RG,India,Open-End Fund,17.05,2.07,-1.786,0.117,13.364,0.649,62.381,,1.077,14.179,28.625,1,,0.717,0,1.035,1226,18.483,0.625
IIFGRRG IN Equity,74873.125,,1750898,360 ONE FOCUSED FUND-RG,India,Open-End Fund,45.927,1.79,-2.588,-1.045,8.183,-6.288,56.017,22.754,0.944,12.469,19.415,1,,0.864,0,0.753,3953,2.424,0.232
IM150RG IN Equity,7820.238,,622372.812,IPRU NIFTY MP 150 IND FD -G,India,Open-End Fund,18.365,0.94,-1.771,0.652,14.522,-3.412,76.847,,1.129,19.019,29.888,,,0.996,,0.741,1342,-6.429,-0.095
IMIDCRG IN Equity,18028.754,,698187.687,BANDHAN MID CAP FUND - RG,India,Open-End Fund,17.366,2.05,0.783,4.627,17.37,-2.268,73.452,,,21.02,43.58,1,,,0,0.398,1104,-6.788,
IMIDULP IN Equity,54149.602,,654696.625,IPRU ULIP MID CAP FUND,India,Open-End Fund,18.448,,-1.134,1.288,15.686,-2.472,,,,20.296,32.6,,,,,0.659,1069,,
INBKIRG IN Equity,6254.794,,7352649,IPRU NIFTY BANK INDEX FUN-RG,India,Open-End Fund,15.305,0.76,-3.524,-1.591,12.443,6.396,39.043,,0.612,12.205,5.251,,,0.996,,0.775,1273,-4.178,-0.08
INBLCRG IN Equity,1278.501,,3934228,GROWW LARGE CAP-RG,India,Open-End Fund,42.63,2.46,0.047,1.163,13.317,-1.932,46.696,18.07,0.669,14.761,26.788,1,,0.669,0,0.919,4943,-39.079,-0.134
INBVDRG IN Equity,595.874,,1845028,GROWW VALUE DISCOVERY FND-RG,India,Open-End Fund,26.699,2.3,-1.452,0.056,13.445,0.398,56.394,21.57,0.858,13.906,,1,,0.937,0,1.047,3634,1.757,0.094
INEQHRG IN Equity,482.279,,3983147,GROWW AGGRESSIVE HY FUND-RG,India,Open-End Fund,20.594,2.38,-0.48,0.322,9.424,-1.119,39.87,2.163,0.676,11.323,,1,,,0,0.927,4524,39.87,
INESGRG IN Equity,4648.715,,1513161,INVESCO INDIA ESG INTEG STR,India,Open-End Fund,17.34,2.43,-1.701,-1.589,8.172,-4.357,42.951,,0.595,15.396,40.748,1,,0.889,0,0.944,1619,-3.52,0.1
INF20RG IN Equity,41990.281,,1767390,INVESCO INDIA FOCUSED FUD-RG,India,Open-End Fund,28.2,1.86,-0.844,1.402,12.8,1.622,88.881,,1.309,16.44,39.513,0,,0.975,0,0.428,1791,35.289,0.623
INFLEEO IN Equity,1290,,3898592,INDIAFIRST EQTY ELITE OPPORT,India,Open-End Fund,27.159,,-0.874,-1.964,6.983,-2.494,39.966,18.864,0.601,11.942,11.271,,,,,1.248,3516,,
INFLENI IN Equity,,,,INDIAFIRST LIFE-ENHANCE INDX,India,Open-End Fund,10,,0,0,0,0,0,0,,0,,,,0,,,5145,-46.802,0
